Data;D1;D2;D3;D4;D5;D6;Arrecadacao_Total;Sena;Rateio_Sena;Quina;Rateio_Quina;Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado
11/03/1996;4;5;30;33;41;52;0;0;0;17;39158.92;2016;330.21;SIM;1714650.23
18/03/1996;9;37;39;41;43;49;0;1;2307162.23;65;14424.02;4488;208.91;NÃƒO;0
25/03/1996;10;11;29;30;36;47;0;2;391192.51;62;10515.93;4261;153.01;NÃƒO;0
01/04/1996;1;5;6;27;42;59;0;0;0;39;15322.24;3311;180.48;SIM;717080.75
08/04/1996;1;2;6;16;19;46;0;0;0;98;5318.10;5399;96.53;SIM;1342488.85
15/04/1996;7;13;19;22;40;47;0;0;0;109;7214.66;7147;110.03;SIM;2286166.33
22/04/1996;3;5;20;21;38;56;0;0;0;100;8746.05;5736;152.48;SIM;3335692.28
29/04/1996;4;17;37;38;47;53;0;0;0;60;16084.11;5262;183.4;SIM;4493748.19
06/05/1996;8;43;54;55;56;60;0;0;0;17;60043.79;2175;469.31;SIM;5718641.49
13/05/1996;4;18;21;25;38;57;0;0;0;251;6638.45;12590;132.35;SIM;13334769.81
20/05/1996;15;25;37;38;58;59;0;1;15591365.07;148;12706.05;9442;199.16;NÃƒO;0
27/05/1996;4;16;19;20;27;43;0;0;0;108;6791.17;6454;113.64;SIM;880136.24
03/06/1996;18;32;47;50;54;56;0;0;0;43;20543.98;2934;301.09;SIM;1940205.35
10/06/1996;2;16;23;27;47;53;0;0;0;85;10458.19;5323;167;SIM;3006941.32
17/06/1996;12;33;35;51;52;60;0;0;0;57;17919.89;3931;259.84;SIM;4232661.35
24/06/1996;20;32;34;49;58;60;0;0;0;31;33307.13;3250;317.7;SIM;5471686.62
01/07/1996;6;10;13;19;20;51;0;1;6789869.08;144;7628.37;9376;117.16;NÃƒO;0
08/07/1996;23;27;36;37;42;56;0;0;0;52;13763.52;4484;159.61;SIM;858843.48
15/07/1996;5;10;12;24;25;60;0;0;0;159;5380.14;9250;92.48;SIM;10506266.73
22/07/1996;11;25;28;30;33;51;0;0;0;72;15486.97;5728;194.67;SIM;11844340.83
29/07/1996;6;33;36;46;49;53;0;0;0;63;17694.19;5030;221.62;SIM;13182021.44
05/08/1996;1;9;31;38;46;56;0;0;0;47;27212.90;4865;262.9;SIM;14716828.84
12/08/1996;17;37;39;51;52;59;0;0;0;74;20198.46;4897;305.23;SIM;16510452.00
19/08/1996;1;8;14;28;33;43;0;1;18661679.61;227;7897.31;13486;132.93;NÃƒO;0
25/08/1996;24;43;50;54;55;56;0;0;0;28;26338.50;2741;269.06;SIM;884973.50
01/09/1996;10;22;50;53;57;58;0;0;0;16;52473.74;1823;460.55;SIM;1892469.30
08/09/1996;13;17;20;33;44;51;0;0;0;99;9306.24;6466;142.49;SIM;2998050.68
15/09/1996;3;6;22;24;54;60;0;0;0;50;19749.22;4895;201.73;SIM;4183003.48
22/09/1996;3;8;14;43;56;58;0;1;5401793.60;44;23083.15;5248;193.53;NÃƒO;0
29/09/1996;7;14;15;29;38;50;0;0;0;80;11347.74;5885;154.26;SIM;10127520.80
06/10/1996;17;19;28;45;48;56;0;0;0;103;8793.04;5680;159.45;SIM;11214340.46
13/10/1996;5;14;33;36;43;44;0;0;0;96;11430.91;6876;159.6;SIM;12531181.83
20/10/1996;5;17;33;39;42;49;0;1;13997410.74;128;9545.76;8722;140.09;NÃƒO;0
27/10/1996;13;15;17;40;53;57;0;0;0;51;13604.06;2627;264.11;SIM;832568.20
03/11/1996;4;16;21;23;54;57;0;0;0;39;20051.18;3576;218.68;SIM;1770963.49
10/11/1996;3;13;17;25;29;51;0;0;0;143;6238.12;8548;104.36;SIM;2841425.78
17/11/1996;6;7;22;38;52;60;0;0;0;47;16848.61;3695;214.32;SIM;3791687.26
24/11/1996;10;42;43;45;54;55;0;0;0;24;38863.10;1999;466.59;SIM;4910944.53
01/12/1996;12;16;37;45;52;56;0;0;0;73;13459.05;4444;221.09;SIM;13456111.33
08/12/1996;3;5;8;12;46;47;0;0;0;189;7789.93;12117;121.51;SIM;15222867.04
15/12/1996;12;26;35;38;39;47;0;1;17019238.50;148;10114.70;10182;147.03;NÃƒO;0
22/12/1996;7;11;19;24;33;36;0;0;0;201;3684.64;9580;77.31;SIM;888735.02
29/12/1996;2;6;17;25;26;58;0;0;0;75;9738.03;5070;144.06;SIM;1765157.22
05/01/1997;14;18;29;38;44;47;0;0;0;103;7099.32;7742;94.45;SIM;2642633.14
12/01/1997;7;30;37;44;53;55;0;0;0;33;27201.47;3004;298.82;SIM;3719811.46
19/01/1997;1;23;24;32;46;60;0;0;0;91;9982.42;6263;145.04;SIM;4809891.56
26/01/1997;3;17;25;35;48;56;0;0;0;210;4458.44;10873;85.94;SIM;5933418.51
02/02/1997;2;5;28;34;47;50;0;0;0;132;7482.95;7454;132.25;SIM;7118717.38
09/02/1997;7;13;33;35;43;55;0;1;8405156.76;155;6916.34;9830;108.85;NÃƒO;0
16/02/1997;6;16;21;44;57;58;0;0;0;31;25241.25;2800;278.91;SIM;8917830.39
23/02/1997;17;23;24;25;42;47;0;0;0;143;7231.47;9361;110.25;SIM;10158749.73
02/03/1997;15;30;38;46;58;59;0;0;0;77;15544.23;6442;185.43;SIM;11595036.71
09/03/1997;3;13;16;38;42;46;0;0;0;210;6337.79;10941;121.41;SIM;13192159.46
16/03/1997;5;9;18;21;36;56;0;2;7469653.99;207;7033.61;13067;111.2;NÃƒO;0
23/03/1997;2;14;23;29;38;52;0;0;0;66;10817.63;3840;185.56;SIM;856756.39
30/03/1997;2;7;20;35;51;59;0;0;0;48;12142.20;2599;223.81;SIM;1556147.46
06/04/1997;7;16;17;27;34;59;0;0;0;79;10699.10;6173;136.65;SIM;2570421.80
13/04/1997;12;27;30;37;44;49;0;1;3631304.91;65;13601.07;5040;175.06;NÃƒO;0
20/04/1997;2;8;13;28;34;54;0;0;0;90;7312.34;5351;122.75;SIM;789733.42
27/04/1997;3;14;15;20;21;38;0;0;0;129;7111.47;7914;115.69;SIM;9478249.26
04/05/1997;8;18;29;42;44;59;0;0;0;52;18902.94;3866;253.76;SIM;10657792.45
11/05/1997;6;8;13;24;31;52;0;0;0;119;9968.70;8613;137.46;SIM;12081323.45
18/05/1997;9;25;26;40;41;49;0;1;13680019.57;82;16246.91;6359;209.1;NÃƒO;0
25/05/1997;8;12;23;50;54;60;0;0;0;29;23309.96;2441;276.38;SIM;811186.58
01/06/1997;1;5;20;25;32;34;0;0;0;61;11542.37;4932;142.48;SIM;1656088.09
08/06/1997;12;13;15;26;33;48;0;0;0;102;8054.25;7686;106.68;SIM;2641927.81
15/06/1997;12;14;17;27;47;52;0;0;0;83;10617.25;5479;160.52;SIM;3699406.44
22/06/1997;1;3;12;13;53;59;0;0;0;49;18496.73;4758;190.11;SIM;4787014.46
29/06/1997;25;34;45;53;56;58;0;0;0;55;17271.48;3661;258.96;SIM;5926931.93
06/07/1997;17;23;27;40;43;58;0;0;0;95;12899.52;6071;201.46;SIM;14883849.29
13/07/1997;16;27;33;43;45;53;0;0;0;115;12451.74;7430;192.35;SIM;16602188.45
20/07/1997;1;19;34;43;44;48;0;0;0;85;19676.33;7982;209.13;SIM;18609174.26
27/07/1997;25;26;28;45;51;57;0;1;21026575.40;95;21205.27;8222;244.52;NÃƒO;0
03/08/1997;2;24;34;37;38;50;0;0;0;40;18257.68;3321;219.48;SIM;876368.71
10/08/1997;21;24;35;36;37;49;0;0;0;70;12395.02;5032;172.09;SIM;1917550.02
17/08/1997;8;17;18;23;33;53;0;0;0;92;10247.61;6399;147.04;SIM;3048886.14
24/08/1997;21;29;40;49;54;57;0;0;0;20;49648.81;2635;376.09;SIM;4240457.60
31/08/1997;12;22;25;31;32;46;0;0;0;103;9907.36;5984;170.19;SIM;5465006.39
07/09/1997;2;13;17;25;31;43;0;1;6770601.75;247;4404.85;13375;81.18;NÃƒO;0
14/09/1997;23;28;37;40;48;51;0;0;0;43;26443.00;4284;264.89;SIM;10953707.53
